x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
9.473,9.841,-0.233,-0.233,9.84,9.472,0.00141344
9.496,9.927,-0.235,-0.235,9.926,9.496,0.000999451
9.38,9.836,-0.231,-0.232,9.836,9.379,0.00141382
9.345,9.861,-0.23,-0.231,9.86,9.345,0.00141383
9.281,9.856,-0.229,-0.23,9.855,9.28,0.00173142
9.224,9.857,-0.228,-0.229,9.857,9.223,0.00141383
8.565,9.214,-0.198,-0.198,9.213,8.564,0.00141344
8.467,9.825,-0.211,-0.211,9.824,8.466,0.00141344
8.479,9.902,-0.213,-0.213,9.902,8.478,0.000999451
11.073,8.339,-0.33,-0.331,8.338,11.072,0.00173086
11,8.338,-0.328,-0.329,8.338,10.999,0.00141382
10.922,8.333,-0.326,-0.327,8.332,10.921,0.00173196
10.878,8.354,-0.325,-0.325,8.353,10.878,0.000999451
10.817,8.361,-0.323,-0.324,8.36,10.817,0.00141382
10.737,8.353,-0.32,-0.32,8.352,10.737,0.000999451
10.682,8.364,-0.319,-0.32,8.364,10.681,0.00141382
10.627,8.348,-0.317,-0.318,8.347,10.626,0.00173141
10.566,8.354,-0.315,-0.315,8.353,10.565,0.00141344
10.542,8.388,-0.315,-0.315,8.387,10.541,0.00141344
10.535,8.438,-0.316,-0.317,8.437,10.534,0.00173141
10.385,8.37,-0.31,-0.311,8.369,10.384,0.00173196
10.316,8.369,-0.308,-0.308,8.369,10.315,0.000999451
10.275,8.388,-0.307,-0.308,8.387,10.274,0.00173141
10.234,8.382,-0.306,-0.306,8.381,10.233,0.00141411
10.164,8.378,-0.304,-0.304,8.377,10.163,0.00141411
10.11,8.387,-0.302,-0.302,8.386,10.109,0.00141344
10.027,8.371,-0.3,-0.301,8.371,10.027,0.000999987
11.238,9.446,-0.362,-0.362,9.445,11.237,0.00141344
9.918,8.386,-0.297,-0.297,8.385,9.917,0.00141411
9.863,8.392,-0.295,-0.295,8.391,9.862,0.00141411
11.229,9.59,-0.365,-0.366,9.589,11.228,0.00173141
11.218,9.642,-0.366,-0.366,9.641,11.218,0.0010004
9.683,8.371,-0.289,-0.29,8.371,9.682,0.00141382
9.63,8.378,-0.288,-0.288,8.377,9.629,0.00141411
9.564,8.374,-0.286,-0.287,8.373,9.563,0.00173141
9.524,8.392,-0.285,-0.285,8.391,9.523,0.00141411
9.458,8.386,-0.283,-0.283,8.385,9.457,0.00141344
9.387,8.376,-0.281,-0.281,8.376,9.386,0.000999451
9.354,8.373,-0.28,-0.281,8.372,9.353,0.00173141
9.31,8.386,-0.279,-0.28,8.385,9.31,0.00141382
9.422,8.596,-0.288,-0.288,8.595,9.421,0.00141344
9.352,8.64,-0.287,-0.288,8.64,9.351,0.00141449
9.35,8.693,-0.288,-0.288,8.692,9.35,0.000999451
9.367,8.736,-0.29,-0.29,8.735,9.366,0.00141344
9.354,8.779,-0.291,-0.292,8.779,9.353,0.00141382
9.502,9.032,-0.301,-0.301,9.031,9.501,0.00141344
9.501,9.088,-0.303,-0.304,9.088,9.501,0.000999987
9.496,9.14,-0.304,-0.304,9.14,9.496,0
9.501,9.203,-0.306,-0.306,9.202,9.501,0.000999451
9.518,9.249,-0.308,-0.308,9.248,9.517,0.00141344
9.503,9.293,-0.308,-0.308,9.292,9.503,0.0010004
9.517,9.365,-0.311,-0.311,9.364,9.516,0.00141411
9.619,9.526,-0.318,-0.318,9.525,9.619,0.000999451
9.49,9.457,-0.313,-0.313,9.456,9.489,0.00141344
8.328,8.347,-0.251,-0.251,8.346,8.327,0.00141344
8.387,8.46,-0.255,-0.255,8.459,8.386,0.00141344
9.34,9.454,-0.308,-0.308,9.454,9.339,0.000999451
9.288,9.461,-0.307,-0.308,9.461,9.287,0.00141382
9.265,9.497,-0.307,-0.308,9.496,9.265,0.00141382
9.273,9.565,-0.31,-0.311,9.564,9.272,0.00173141
9.266,9.619,-0.311,-0.311,9.619,9.265,0.000999451
9.25,9.662,-0.312,-0.313,9.661,9.249,0.00173141
9.385,9.867,-0.321,-0.322,9.866,9.384,0.00173196
9.308,9.847,-0.318,-0.318,9.846,9.307,0.00141344
9.313,9.883,-0.32,-0.32,9.883,9.312,0.000999451
9.283,9.914,-0.32,-0.32,9.913,9.282,0.00141344
9.234,9.924,-0.319,-0.32,9.923,9.233,0.00173196
8.522,9.941,-0.301,-0.301,9.94,8.522,0.000999451
8.488,9.965,-0.301,-0.301,9.964,8.487,0.00141344
11.091,8.293,-0.412,-0.413,8.292,11.09,0.00173196
11.034,8.305,-0.411,-0.412,8.305,11.034,0.000999987
10.981,8.319,-0.409,-0.41,8.318,10.98,0.00173251
10.931,8.309,-0.407,-0.408,8.308,10.93,0.00173141
10.864,8.311,-0.405,-0.406,8.31,10.864,0.00141382
10.8,8.316,-0.403,-0.403,8.315,10.799,0.00141411
10.721,8.31,-0.4,-0.401,8.31,10.72,0.00141382
10.668,8.323,-0.398,-0.399,8.322,10.667,0.00173196
10.595,8.319,-0.396,-0.396,8.318,10.595,0.0010004
10.542,8.332,-0.394,-0.394,8.331,10.541,0.00141344
10.49,8.317,-0.392,-0.392,8.317,10.489,0.000999451
10.432,8.325,-0.39,-0.39,8.324,10.431,0.00141344
10.39,8.345,-0.389,-0.389,8.345,10.39,0
10.302,8.328,-0.386,-0.387,8.327,10.301,0.00173141
10.232,8.325,-0.383,-0.383,8.324,10.232,0.000999451
10.2,8.352,-0.383,-0.383,8.351,10.199,0.00141411
10.121,8.341,-0.38,-0.38,8.34,10.121,0.000999451
10.073,8.355,-0.378,-0.378,8.354,10.072,0.00141276
